Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demosuite,Chrome 70.0.3538.110,,2018-11-28 00:32:07,2018-11-28 00:32:31,23.977s,PASSED
,,,,,,
Test Cases/DragNDrop,Chrome 70.0.3538.110,,2018-11-28 00:32:07,2018-11-28 00:32:22,15.000s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-28 00:32:08,2018-11-28 00:32:12,4.338s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-28 00:32:12,2018-11-28 00:32:16,3.326s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-28 00:32:16,2018-11-28 00:32:16,0.275s,PASSED
switchToFrame,Chrome 70.0.3538.110,,2018-11-28 00:32:16,2018-11-28 00:32:16,0.187s,PASSED
dragAndDropToObject,Chrome 70.0.3538.110,,2018-11-28 00:32:16,2018-11-28 00:32:17,1.003s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 70.0.3538.110,,2018-11-28 00:32:17,2018-11-28 00:32:22,5.010s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-28 00:32:22,2018-11-28 00:32:22,0.115s,PASSED
,,,,,,
Test Cases/OHRMTests/LoginValidation,Chrome 70.0.3538.110,,2018-11-28 00:32:22,2018-11-28 00:32:31,8.234s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-28 00:32:23,2018-11-28 00:32:28,5.051s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-28 00:32:28,2018-11-28 00:32:28,0.241s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 00:32:28,2018-11-28 00:32:28,0.281s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 00:32:28,2018-11-28 00:32:28,0.178s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 00:32:28,2018-11-28 00:32:30,1.961s,PASSED
"Statement - actual_value = ""Welcome Admin""",Chrome 70.0.3538.110,,2018-11-28 00:32:30,2018-11-28 00:32:30,0.001s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-11-28 00:32:30,2018-11-28 00:32:30,0.112s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-28 00:32:30,2018-11-28 00:32:31,0.106s,PASSED
