Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demosuite,Chrome 70.0.3538.110,,2018-11-28 01:32:58,2018-11-28 01:33:31,32.766s,PASSED
,,,,,,
Test Cases/DragNDrop,Chrome 70.0.3538.110,,2018-11-28 01:32:59,2018-11-28 01:33:21,22.006s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-28 01:33:00,2018-11-28 01:33:08,7.998s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-28 01:33:08,2018-11-28 01:33:14,5.617s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-28 01:33:14,2018-11-28 01:33:14,0.261s,PASSED
switchToFrame,Chrome 70.0.3538.110,,2018-11-28 01:33:14,2018-11-28 01:33:14,0.219s,PASSED
dragAndDropToObject,Chrome 70.0.3538.110,,2018-11-28 01:33:14,2018-11-28 01:33:16,1.513s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 70.0.3538.110,,2018-11-28 01:33:16,2018-11-28 01:33:21,5.012s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-28 01:33:21,2018-11-28 01:33:21,0.267s,PASSED
,,,,,,
Test Cases/OHRMTests/LoginValidation,Chrome 70.0.3538.110,,2018-11-28 01:33:21,2018-11-28 01:33:31,9.671s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-28 01:33:21,2018-11-28 01:33:28,6.303s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-28 01:33:28,2018-11-28 01:33:28,0.237s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 01:33:28,2018-11-28 01:33:28,0.310s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 01:33:28,2018-11-28 01:33:28,0.203s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 01:33:28,2018-11-28 01:33:30,2.109s,PASSED
"Statement - actual_value = ""Welcome Admin""",Chrome 70.0.3538.110,,2018-11-28 01:33:30,2018-11-28 01:33:30,0.001s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-11-28 01:33:30,2018-11-28 01:33:31,0.107s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-28 01:33:31,2018-11-28 01:33:31,0.092s,PASSED
