Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Demosuite,Chrome 70.0.3538.110,,2018-11-28 01:31:07,2018-11-28 01:31:33,26.058s,PASSED
,,,,,,
Test Cases/DragNDrop,Chrome 70.0.3538.110,,2018-11-28 01:31:07,2018-11-28 01:31:23,15.651s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-28 01:31:08,2018-11-28 01:31:13,4.843s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-28 01:31:13,2018-11-28 01:31:16,3.569s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-28 01:31:16,2018-11-28 01:31:17,0.280s,PASSED
switchToFrame,Chrome 70.0.3538.110,,2018-11-28 01:31:17,2018-11-28 01:31:17,0.150s,PASSED
dragAndDropToObject,Chrome 70.0.3538.110,,2018-11-28 01:31:17,2018-11-28 01:31:18,1.117s,PASSED
Statement - java.lang.Thread.sleep(5000),Chrome 70.0.3538.110,,2018-11-28 01:31:18,2018-11-28 01:31:23,5.008s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-28 01:31:23,2018-11-28 01:31:23,0.105s,PASSED
,,,,,,
Test Cases/OHRMTests/LoginValidation,Chrome 70.0.3538.110,,2018-11-28 01:31:23,2018-11-28 01:31:33,9.696s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-28 01:31:23,2018-11-28 01:31:29,5.229s,PASSED
maximizeWindow,Chrome 70.0.3538.110,,2018-11-28 01:31:29,2018-11-28 01:31:29,0.233s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 01:31:29,2018-11-28 01:31:29,0.247s,PASSED
setText,Chrome 70.0.3538.110,,2018-11-28 01:31:29,2018-11-28 01:31:29,0.184s,PASSED
click,Chrome 70.0.3538.110,,2018-11-28 01:31:29,2018-11-28 01:31:33,3.338s,PASSED
"Statement - actual_value = ""Welcome Admin""",Chrome 70.0.3538.110,,2018-11-28 01:31:33,2018-11-28 01:31:33,0.001s,PASSED
verifyElementText,Chrome 70.0.3538.110,,2018-11-28 01:31:33,2018-11-28 01:31:33,0.111s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-28 01:31:33,2018-11-28 01:31:33,0.103s,PASSED
